date,open,close
2019/7/8,995.05,984.86
2019/7/9,979.3,976.06
2019/7/10,980.93,982.52
2019/7/11,989.96,981.5
2019/7/12,981.3,986.09
2019/7/15,967.8,975.93
2019/7/16,975.45,968
2019/7/17,968,963.5
2019/7/18,961.5,947.5
2019/7/19,955,955.87
2019/7/22,960,957.02
2019/7/23,962.3,953.98
2019/7/24,958.31,946.36
2019/7/25,945.97,963
2019/7/26,961.97,965.03
2019/7/29,962.03,976.41
2019/7/30,976.5,978.93
2019/7/31,975,972.6
2019/8/1,976.51,959.3
2019/8/2,944,954.45
2019/8/5,945,942.43
2019/8/6,931,946.3
2019/8/7,949.5,945
2019/8/8,953.5,971.68
2019/8/9,978.5,962.03
2019/8/12,1010.31,1018.63
2019/8/13,1016.16,1017.95
2019/8/14,1030.02,1043.33
2019/8/15,1028,1044.9
2019/8/16,1049.84,1054.6
2019/8/19,1061,1055.88
2019/8/20,1055,1070
2019/8/21,1070.1,1066
2019/8/22,1072.99,1104
2019/8/23,1105,1130.1
2019/8/26,1113,1102.95
2019/8/27,1117,1109
2019/8/28,1109,1100.11
2019/8/29,1105,1113.1
2019/8/30,1125,1142
2019/9/2,1139.99,1138.76
2019/9/3,1140,1140
2019/9/4,1140.8,1125.01
2019/9/5,1129,1144
2019/9/6,1144.5,1142.49
2019/9/9,1145,1136.52
2019/9/10,1134.3,1123.85
